x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.80856092, 0, 0.30343025, 0.00047436158, 0.0034136119, -1.3975448e-05, 0.02508859, -0.00011997513, 0.42647455, 0.00055155499
0.80812417, 0, 0.305322, 0.00047326513, 0.0035268641, -1.4128836e-05, 0.024980017, -0.00011098045, 0.42645978, 0.00055433315
0.80768743, 0, 0.30721374, 0.00047216725, 0.003643023, -1.4285658e-05, 0.024869977, -0.00010198136, 0.4264434, 0.00055723774
0.80725069, 0, 0.30910548, 0.00047106765, 0.0037621343, -1.4446069e-05, 0.024758488, -9.29932e-05, 0.42642531, 0.00056030054
0.80681394, 0, 0.31099723, 0.000469966, 0.0038842443, -1.4610228e-05, 0.024645567, -8.403181e-05, 0.42640536, 0.00056355842
0.8063772, 0, 0.31288897, 0.00046886187, 0.0040093995, -1.47783e-05, 0.024531232, -7.5113619e-05, 0.4263834, 0.0005670542
0.80594046, 0, 0.31478072, 0.00046775476, 0.0041376471, -1.4950454e-05, 0.024415502, -6.6255818e-05, 0.42635923, 0.00057083734
0.80550371, 0, 0.31667246, 0.00046664402, 0.0042690345, -1.512687e-05, 0.024298394, -5.7476607e-05, 0.42633261, 0.00057496451
0.80506697, 0, 0.3185642, 0.00046552891, 0.0044036097, -1.5307739e-05, 0.024179928, -4.8795428e-05, 0.42630324, 0.00057950002
0.80463023, 0, 0.32045595, 0.00046440854, 0.0045414208, -1.5493267e-05, 0.024060122, -4.023318e-05, 0.42627077, 0.00058451618
0.80419348, 0, 0.32234769, 0.00046328188, 0.0046825162, -1.5683673e-05, 0.023938995, -3.181247e-05, 0.42623477, 0.00059009392
0.80375674, 0, 0.32423943, 0.00046214771, 0.0048269443, -1.5879197e-05, 0.023816565, -2.3557828e-05, 0.42619475, 0.00059632389
0.80332, 0, 0.32613118, 0.00046100462, 0.0049747535, -1.6080094e-05, 0.023692851, -1.549602e-05, 0.4261501, 0.00060330837
0.80288325, 0, 0.32802292, 0.00045985098, 0.0051259923, -1.6286638e-05, 0.023567874, -7.6564693e-06, 0.42610013, 0.00061116423
0.80244651, 0, 0.32991466, 0.00045868493, 0.0052807084, -1.6499117e-05, 0.023441653, -7.1848186e-08, 0.42604401, 0.00062002705
0.80200977, 0, 0.33180641, 0.00045750428, 0.0054389493, -1.6717833e-05, 0.023314206, 7.2211696e-06, 0.42598079, 0.00063005634
0.80157302, 0, 0.33369815, 0.00045630652, 0.0056007615, -1.6943093e-05, 0.023185554, 1.4180987e-05, 0.42590934, 0.00064144175
0.80113628, 0, 0.3355899, 0.00045508872, 0.0057661906, -1.7175208e-05, 0.023055718, 2.0759977e-05, 0.42582836, 0.00065441007
0.80069954, 0, 0.33748164, 0.00045384747, 0.0059352804, -1.7414484e-05, 0.022924716, 2.6903252e-05, 0.42573631, 0.00066923288
0.80026279, 0, 0.33937338, 0.00045257875, 0.0061080732, -1.7661216e-05, 0.02279257, 3.254729e-05, 0.42563143, 0.00068623496
0.79982605, 0, 0.34126513, 0.00045127784, 0.0062846084, -1.7915679e-05, 0.0226593, 3.7618387e-05, 0.42551162, 0.00070580355
0.79938931, 0, 0.34315687, 0.0004499392, 0.0064649229, -1.8178122e-05, 0.022524926, 4.2030968e-05, 0.42537447, 0.00072839862
0.79895256, 0, 0.34504861, 0.0004485563, 0.0066490494, -1.8448758e-05, 0.02238947, 4.5685695e-05, 0.42521716, 0.00075456441
0.79851582, 0, 0.34694036, 0.00044712144, 0.0068370163, -1.8727754e-05, 0.022252952, 4.8467419e-05, 0.42503639, 0.00078494214
0.79807907, 0, 0.3488321, 0.00044562555, 0.0070288465, -1.9015227e-05, 0.022115394, 5.024292e-05, 0.42482835, 0.00082028364
0.79764233, 0, 0.35072384, 0.00044405795, 0.0072245561, -1.931123e-05, 0.021976815, 5.0858571e-05, 0.4245886, 0.00086146547
0.79720559, 0, 0.35261559, 0.00044240611, 0.0074241534, -1.9615746e-05, 0.021837238, 5.0138005e-05, 0.42431199, 0.00090950276
0.79676884, 0, 0.35450733, 0.00044065537, 0.0076276373, -1.9928683e-05, 0.021696681, 4.7879899e-05, 0.42399257, 0.00096556193
0.7963321, 0, 0.35639908, 0.0004387886, 0.0078349954, -2.0249863e-05, 0.021555166, 4.3856177e-05, 0.42362343, 0.0010309712
0.79589536, 0, 0.35829082, 0.00043678588, 0.0080462023, -2.0579021e-05, 0.021412712, 3.7810881e-05, 0.42319666, 0.0011072278
0.79545861, 0, 0.36018256, 0.00043462422, 0.0082612173, -2.0915796e-05, 0.021269338, 2.9460031e-05, 0.42270312, 0.001196
0.79502187, 0, 0.36207431, 0.00043227714, 0.0084799818, -2.1259728e-05, 0.021125061, 1.8492894e-05, 0.42213239, 0.0012991224
0.79458513, 0, 0.36396605, 0.00042971443, 0.0087024165, -2.1610259e-05, 0.0209799, 4.5750329e-06, 0.42147259, 0.0014185832
0.79414838, 0, 0.36585779, 0.00042690183, 0.0089284187, -2.1966728e-05, 0.020833869, -1.2646442e-05, 0.42071024, 0.0015564984
0.79371164, 0, 0.36774954, 0.00042380083, 0.0091578584, -2.2328373e-05, 0.020686982, -3.353509e-05, 0.41983018, 0.0017150734
0.7932749, 0, 0.36964128, 0.00042036855, 0.009390575, -2.2694329e-05, 0.020539253, -5.8454456e-05, 0.41881544, 0.0018965461
0.79283815, 0, 0.37153302, 0.00041655775, 0.0096263734, -2.3063631e-05, 0.020390689, -8.7754297e-05, 0.41764721, 0.0021031105
0.79240141, 0, 0.37342477, 0.000412317, 0.0098650203, -2.3435217e-05, 0.020241298, -0.0001217537, 0.41630483, 0.002336818
0.79196467, 0, 0.37531651, 0.0004075911, 0.01010624, -2.3807927e-05, 0.020091085, -0.00016072122, 0.41476587, 0.0025994559
0.79152792, 0, 0.37720826, 0.00040232173, 0.010349711, -2.4180513e-05, 0.01994005, -0.00020485262, 0.41300635, 0.0028924042
0.79109118, 0, 0.3791, 0.00039644838, 0.010595063, -2.4551638e-05, 0.019788191, -0.00025424729, 0.411001, 0.0032164747
0.79065444, 0, 0.38099174, 0.0003899097, 0.010841873, -2.4919885e-05, 0.019635501, -0.00030888472, 0.40872382, 0.00357174
0.79021769, 0, 0.38288349, 0.00038264504, 0.011089666, -2.5283768e-05, 0.01948197, -0.00036860358, 0.40614864, 0.0039573642
0.78978095, 0, 0.38477523, 0.00037459643, 0.011337913, -2.5641736e-05, 0.019327584, -0.0004330859, 0.40324999, 0.0043714516
0.78934421, 0, 0.38666697, 0.00036571075, 0.011586033, -2.5992188e-05, 0.019172327, -0.00050184988, 0.40000402, 0.0048109338
0.78890746, 0, 0.38855872, 0.0003559421, 0.011833397, -2.6333484e-05, 0.019016179, -0.00057425417, 0.39638964, 0.0052715182
0.78847072, 0, 0.39045046, 0.00034525414, 0.012079332, -2.666396e-05, 0.018859118, -0.0006495162, 0.39238962, 0.0057477172
0.78803398, 0, 0.3923422, 0.00033362232, 0.012323131, -2.6981949e-05, 0.018701121, -0.00072674512, 0.3879917, 0.0062329745
0.78759723, 0, 0.39423395, 0.00032103575, 0.012564062, -2.728579e-05, 0.018542166, -0.00080498773, 0.38318958, 0.0067198912
0.78716049, 0, 0.39612569, 0.00030749849, 0.012801379, -2.7573853e-05, 0.018382231, -0.00088328301, 0.37798364, 0.0072005404
0.78672375, 0, 0.39801744, 0.00029303024, 0.013034336, -2.7844558e-05, 0.018221298, -0.00096071856, 0.37238136, 0.0076668463
0.786287, 0, 0.39990918, 0.00027766614, 0.013262201, -2.809639e-05, 0.018059353, -0.0010364809, 0.36639738, 0.0081109871
